Reference,Value,Footprint,Quantity,Manufacturer,Part Number,Supplier,Supplier PN,Description,Notes
U1,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,Advanced Monolithic Systems,AMS1117-3.3,LCSC,C6186,3.3V 1A LDO Regulator,SOT-223
U2,ESP32-S3-DevKitC-1,Module:ESP32-S3-DevKitC-1,1,Espressif Systems,ESP32-S3-DevKitC-1,Mouser,356-ESP32S3DEVKITC1,ESP32-S3 Dev Board,44-pin 2×22 header
U3,W5500,Module:W5500_Lite,1,WIZnet,W5500-EVB,Mouser,707-W5500,Hardwired TCP/IP SPI Ethernet,Module with RJ45
U4,PC817,Package_DIP:DIP-4_W7.62mm,1,Sharp/Everlight,PC817,LCSC,C6727,Optocoupler DIP-4 CTR≥100%,SSR CH1 isolation
U5,PC817,Package_DIP:DIP-4_W7.62mm,1,Sharp/Everlight,PC817,LCSC,C6727,Optocoupler DIP-4 CTR≥100%,SSR CH2 isolation
U6,PC817,Package_DIP:DIP-4_W7.62mm,1,Sharp/Everlight,PC817,LCSC,C6727,Optocoupler DIP-4 CTR≥100%,SSR CH3 isolation
U7,PC817,Package_DIP:DIP-4_W7.62mm,1,Sharp/Everlight,PC817,LCSC,C6727,Optocoupler DIP-4 CTR≥100%,SSR CH4 isolation
K1,G3MB-202P,Connector_PinHeader_2.54mm:PinHeader_1x02,1,Omron,G3MB-202P,Mouser,653-G3MB202P,SSR 2A 240VAC,CH1 Irrigation — panel mount
K2,G3MB-202P,Connector_PinHeader_2.54mm:PinHeader_1x02,1,Omron,G3MB-202P,Mouser,653-G3MB202P,SSR 2A 240VAC,CH2 Heater — panel mount
K3,G3MB-202P,Connector_PinHeader_2.54mm:PinHeader_1x02,1,Omron,G3MB-202P,Mouser,653-G3MB202P,SSR 2A 240VAC,CH3 Cooling — panel mount
K4,G3MB-202P,Connector_PinHeader_2.54mm:PinHeader_1x02,1,Omron,G3MB-202P,Mouser,653-G3MB202P,SSR 2A 240VAC,CH4 Fan — panel mount
PS1,HLK-PM05,Connector:HLK-PM05,1,Hi-Link,HLK-PM05,AliExpress,HLK-PM05,AC-DC 220V to 5V 0.6W,Isolated
