Reference,Value,X (mm),Y (mm),Rotation (deg),Side,Package,Comment
U1,AMS1117-3.3,15.000,15.000,0,Top,SOT-223-3,LDO 3.3V
U3,W5500,62.000,20.000,0,Top,Module,SPI Ethernet
U4,PC817,75.000,45.000,0,Top,DIP-4,Optocoupler CH1
U5,PC817,88.000,45.000,0,Top,DIP-4,Optocoupler CH2
U6,PC817,101.000,45.000,0,Top,DIP-4,Optocoupler CH3
U7,PC817,114.000,45.000,0,Top,DIP-4,Optocoupler CH4
K1,G3MB-202P,75.000,58.000,0,Top,PinHeader_1x02,SSR control CH1
K2,G3MB-202P,88.000,58.000,0,Top,PinHeader_1x02,SSR control CH2
K3,G3MB-202P,101.000,58.000,0,Top,PinHeader_1x02,SSR control CH3
K4,G3MB-202P,114.000,58.000,0,Top,PinHeader_1x02,SSR control CH4
RV1,S14K275,10.000,78.000,0,Top,Varistor_D14mm,MOV surge protection
F1,10A_250V,45.000,78.000,0,Top,Fuseholder_5x20mm,Main fuse
C1,100uF,25.000,18.000,0,Top,CP_Radial_D8mm,5V bulk
C2,100uF,32.000,18.000,0,Top,CP_Radial_D8mm,3.3V bulk
C3,10uF,20.000,15.000,0,Top,C_1206,LDO output
C4,10uF,20.000,18.000,0,Top,C_1206,LDO input
C5,100nF,45.000,30.000,0,Top,C_0805,ESP32 bypass
C6,100nF,50.000,30.000,0,Top,C_0805,W5500 bypass
C7,100nF,70.000,42.000,0,Top,C_0805,PC817 U4 bypass
C8,100nF,83.000,42.000,0,Top,C_0805,PC817 U5 bypass
R1,330,67.000,45.000,90,Top,R_0805,PC817 input R CH1
R2,330,80.000,45.000,90,Top,R_0805,PC817 input R CH2
R3,330,93.000,45.000,90,Top,R_0805,PC817 input R CH3
R4,330,106.000,45.000,90,Top,R_0805,PC817 input R CH4
R5,330,75.000,8.000,0,Top,R_0805,LED R CH1
R6,330,88.000,8.000,0,Top,R_0805,LED R CH2
R7,330,101.000,8.000,0,Top,R_0805,LED R CH3
R8,330,114.000,8.000,0,Top,R_0805,LED R CH4
D1,LED_GREEN,75.000,12.000,0,Top,LED_0805,CH1 indicator
D2,LED_GREEN,88.000,12.000,0,Top,LED_0805,CH2 indicator
D3,LED_YELLOW,101.000,12.000,0,Top,LED_0805,CH3 indicator
D4,LED_RED,114.000,12.000,0,Top,LED_0805,CH4 indicator
J_AC,L/N/PE/LOAD,20.000,85.000,0,Top,PhoenixContact_5pin_5.08mm,AC mains terminal
J5,DC_Jack,5.000,75.000,0,Top,BarrelJack_2.1mm,5V DC input
J6,UART_DEBUG,113.000,63.000,0,Top,PinHeader_1x04_2.54mm,UART debug
J7,HR911105A,20.000,93.000,0,Top,RJ45_Horizontal,Ethernet
SW1,RESET,113.000,93.000,0,Top,SW_SPST_SMD,Reset
