Reference,Value,Footprint,Quantity,Manufacturer,Part Number,Supplier,Supplier PN,Description,Notes
U1,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,Advanced Monolithic Systems,AMS1117-3.3,LCSC,C6186,3.3V 1A LDO Regulator,SOT-223
U2,ESP32-S3-DevKitC-1,Module:ESP32-S3-DevKitC-1,1,Espressif Systems,ESP32-S3-DevKitC-1,Mouser,356-ESP32S3DEVKITC1,ESP32-S3 Dev Board,44-pin 2×22 header
U3,W5500,Module:W5500_Lite,1,WIZnet,W5500-EVB,Mouser,707-W5500,Hardwired TCP/IP SPI Ethernet,Module with RJ45
U4,LM2596-12,Package_TO_SOT_THT:TO-263-5,1,Texas Instruments,LM2596S-12/NOPB,Mouser,595-LM2596S-12NOPB,3A Buck Converter 12V fixed TO-263,Valve supply
PS1,HLK-PM05,Connector:HLK-PM05,1,Hi-Link,HLK-PM05,AliExpress,HLK-PM05,AC-DC 220V to 5V 0.6W,Isolated AC-DC
Q1,IRLZ44N,Package_TO_SOT_THT:TO-220-3_Vertical,1,Infineon,IRLZ44NPBF,Mouser,942-IRLZ44NPBF,N-MOSFET 55V 47A Logic Level TO-220,Valve 1 drive
Q2,IRLZ44N,Package_TO_SOT_THT:TO-220-3_Vertical,1,Infineon,IRLZ44NPBF,Mouser,942-IRLZ44NPBF,N-MOSFET 55V 47A Logic Level TO-220,Valve 2 drive
L1,100uH,Inductor_THT:L_Axial_L12.5mm_D5.2mm_P17.78mm,1,Vishay,IM-1 100µH,Mouser,594-5470510H,100µH Axial inductor 2.5A,LM2596 output inductor
C1,100uF 25V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,Nichicon,UVR1E101MDD,Mouser,647-UVR1E101MDD,Electrolytic 100µF 25V,5V rail bulk
C2,100uF 16V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,Nichicon,UVR1C101MDD,Mouser,647-UVR1C101MDD,Electrolytic 100µF 16V,3.3V rail bulk
C3,10uF,Capacitor_SMD:C_1206_3216Metric,1,Murata,GRM31CR61A106KA01L,Mouser,81-GRM31CR61A106KA01L,MLCC 10µF 10V X5R 1206,LDO output
