Reference,Value,Footprint,Qty,Manufacturer,PartNumber,Supplier,Description
U1,AMS1117-3.3,SOT-223-3_TabPin2,1,AMS,AMS1117-3.3,LCSC C6186,3.3V 1A LDO
U2,ESP32-S3-DevKitC-1,Module:ESP32-S3-DevKitC-1,1,Espressif,ESP32-S3-DevKitC-1,Mouser 356-ESP32S3DEVKITC1,MCU module
U3,W5500-EVB,Module:W5500-EVB,1,WIZnet,W5500,Mouser 720-W5500,SPI Ethernet
PS1,HLK-PM05,Module:HLK-PM05,1,Hi-Link,HLK-PM05,LCSC C167067,AC-DC 5V 0.6A
C1,100uF,CP_Radial_D8.0mm_P3.50mm,1,Nichicon,UVR1E101MED,Mouser,Bulk LDO in
C2,100uF,CP_Radial_D8.0mm_P3.50mm,1,Nichicon,UVR1E101MED,Mouser,Bulk LDO out
C3,10uF,C_1206_3216Metric,1,Murata,GRM31CR61E106KA12,Mouser,MLCC LDO in
C4,10uF,C_1206_3216Metric,1,Murata,GRM31CR61E106KA12,Mouser,MLCC LDO out
C5,100nF,C_0805_2012Metric,1,Yageo,CC0805ZRY5V9BB104,Mouser,Decoupling
C6,100nF,C_0805_2012Metric,1,Yageo,CC0805ZRY5V9BB104,Mouser,Decoupling
C7,100nF,C_0805_2012Metric,1,Yageo,CC0805ZRY5V9BB104,Mouser,Decoupling
C8,100nF,C_0805_2012Metric,1,Yageo,CC0805ZRY5V9BB104,Mouser,Decoupling
C9,100nF,C_0805_2012Metric,1,Yageo,CC0805ZRY5V9BB104,Mouser,Decoupling
C10,100nF,C_0805_2012Metric,1,Yageo,CC0805ZRY5V9BB104,Mouser,Decoupling
R1,4.7k,R_0805_2012Metric,1,Yageo,RC0805FR-074K7L,Mouser,I2C SDA pull-up
R2,4.7k,R_0805_2012Metric,1,Yageo,RC0805FR-074K7L,Mouser,I2C SCL pull-up
R3,330,R_0805_2012Metric,1,Yageo,RC0805FR-07330RL,Mouser,LED PWR
R4,330,R_0805_2012Metric,1,Yageo,RC0805FR-07330RL,Mouser,LED WiFi
R5,330,R_0805_2012Metric,1,Yageo,RC0805FR-07330RL,Mouser,LED ERR
D1,LED_GREEN,LED_SMD:LED_0805,1,Wurth,150080VS75000,Mouser,PWR green
D2,LED_BLUE,LED_SMD:LED_0805,1,Wurth,150080BS75000,Mouser,WiFi blue
D3,LED_RED,LED_SMD:LED_0805,1,Wurth,150080RS75000,Mouser,ERR red
D4,SMBJ5.0A,Diode_SMD:D_SMB,1,Vishay,SMBJ5.0A-E3/61,Mouser,TVS 5V power line
D5,BAT54,Package_TO_SOT_SMD:SOT-23,1,Vishay,BAT54-GS08,Mouser,Schottky SDI-12 3.6V
J1,SHT40_I2C,JST_XH_B4B-XH-A_1x04,1,JST,B4B-XH-A,Mouser 306-B4B-XH-A,SHT40 connector
J2,SCD41_I2C,JST_XH_B4B-XH-A_1x04,1,JST,B4B-XH-A,Mouser 306-B4B-XH-A,SCD41 CO2
J3,AS7341_I2C,JST_XH_B4B-XH-A_1x04,1,JST,B4B-XH-A,Mouser 306-B4B-XH-A,AS7341 spectral
J4,TEROS12_SDI12,JST_XH_B3B-XH-A_1x03,1,JST,B3B-XH-A,Mouser 306-B3B-XH-A,TEROS-12
J5,DC_Jack_2.1mm,BarrelJack_Kycon,1,Kycon,KLDX-0202-A,Mouser,5V DC input
J6,UART_DEBUG,PinHeader_1x04_P2.54mm,1,Wurth,61300411121,Mouser,UART debug
J7,HR911105A,RJ45_Horizontal,1,Hanrun,HR911105A,Mouser,Ethernet RJ45
SW1,RESET,SW_SPST_SKQG,1,Alps,SKQGAFE010,Mouser 688-SKQGAFE010,Reset button
MH1,M3_Hole,MountingHole_3.2mm_M3,4,,,,Corner mounting hole
