Reference,Value,X (mm),Y (mm),Rotation (deg),Side,Package,Comment
U1,AMS1117-3.3,15.000,15.000,0,Top,SOT-223-3,LDO 3.3V regulator
U3,W5500,70.000,20.000,0,Top,Module,SPI Ethernet module
C1,100uF,25.000,18.000,0,Top,CP_Radial_D8mm,5V bulk cap
C2,100uF,32.000,18.000,0,Top,CP_Radial_D8mm,3.3V bulk cap
C3,10uF,20.000,15.000,0,Top,C_1206,LDO output cap
C4,10uF,20.000,18.000,0,Top,C_1206,LDO input cap
C5,100nF,45.000,30.000,0,Top,C_0805,ESP32 bypass
C6,100nF,50.000,30.000,0,Top,C_0805,W5500 bypass
C7,100nF,55.000,30.000,0,Top,C_0805,SHT40 bypass
C8,100nF,60.000,30.000,0,Top,C_0805,SCD41 bypass
C9,100nF,65.000,30.000,0,Top,C_0805,AS7341 bypass
C10,100nF,70.000,30.000,0,Top,C_0805,General bypass
R1,4.7k,55.000,10.000,0,Top,R_0805,SDA pull-up
R2,4.7k,60.000,10.000,0,Top,R_0805,SCL pull-up
R3,330,62.000,63.000,0,Top,R_0805,D1 Green LED R
R4,330,65.000,63.000,0,Top,R_0805,D2 Blue LED R
R5,330,68.000,63.000,0,Top,R_0805,D3 Red LED R
D1,LED_GREEN,62.000,65.000,0,Top,LED_0805,Green status
D2,LED_BLUE,65.000,65.000,0,Top,LED_0805,Blue network
D3,LED_RED,68.000,65.000,0,Top,LED_0805,Red alarm
D4,SMBJ5.0A,8.000,12.000,0,Top,D_SMB,TVS diode
D5,BAT54,15.000,12.000,0,Top,SOT-23,Schottky
J1,SHT40_I2C,85.000,10.000,0,Top,JST_XH_4p,SHT40 connector
J2,SCD41_I2C,85.000,22.000,0,Top,JST_XH_4p,SCD41 connector
J3,AS7341_I2C,85.000,34.000,0,Top,JST_XH_4p,AS7341 connector
J4,TEROS12_SDI12,85.000,46.000,0,Top,JST_XH_3p,TEROS-12 connector
J5,DC_Jack_2.1mm,5.000,62.000,0,Top,BarrelJack_2.1mm,DC power input
J6,UART_DEBUG,93.000,60.000,0,Top,PinHeader_1x04_2.54mm,Debug UART
J7,HR911105A,20.000,72.000,0,Top,RJ45_Horizontal,Ethernet
SW1,RESET,92.000,72.000,0,Top,SW_SPST_SMD,Reset button
